,0
0,
1,Turks And Caicos Islands
2,Kazakhstan
3,China
4,Cape Verde
5,Papua New Guinea
6,Reunion
7,Dominica
8,Macedonia
9,Tasmania
10,Rwanda
11,Portugal
12,Bangladesh
13,Greece
14,British Virgin Islands
15,Estonia
16,Bermuda
17,Burundi
18,Colombia
19,Monaco
20,Indonesia
21,Bahrain
22,Central African Republic
23,Guadeloupe
24,Mongolia
25,Gabon
26,Syria
27,Ukraine
28,Brazil
29,Nicaragua
30,Senegal
31,Solomon Islands
32,Slovakia
33,Uruguay
34,Peru
35,Madagascar
36,Paraguay
37,Belgium
38,South Sudan
39,Niger
40,Norfolk Island
41,Jamaica
42,American Samoa
43,Bhutan
44,India
45,Finland
46,Canada
47,Zaire
48,St. Helena
49,Anguilla
50,Antarctica
51,Tonga
52,Namibia
53,Turkey
54,Tajikistan
55,Guyana
56,Saint Kitts And Nevis
57,French Polynesia
58,Somalia
59,Nigeria
60,Netherlands
61,Sierra Leone
62,Ivory Coast
63,Montenegro
64,Democratic Republic Of Congo
65,Martinique
66,Malaysia
67,Antigua And Barbuda
68,Angola
69,Burkina Faso
70,Serbia
71,Chile
72,Korea
73,"Scotland, United Kingdom"
74,United Arab Emirates
75,Belarus
76,Cameroon
77,Grenada
78,Suriname
79,Moldova
80,Sweden
81,Trinidad And Tobago
82,Ethiopia
83,Guam
84,Austria
85,Morocco
86,Kyrgyzstan
87,Greenland
88,Haiti
89,Croatia
90,Japan
91,Tibet
92,Bolivia
93,Israel
94,Cocos
95,East Timor-Indonesia
96,Hungary
97,Pakistan
98,Germany
99,Sri Lanka
100,Kuwait
101,Malawi
102,Italy
103,Iceland
104,Vanuatu
105,Benin
106,Wallis And Futuna Islands
107,Kenya
108,Micronesia
109,Fiji
110,Guatemala
111,Luxembourg
112,Bulgaria
113,St. Pierre And Miquelon
114,Federated States Of Micronesia
115,Macau
116,Armenia
117,Yugoslavia
118,Iran
119,Djibouti
120,Georgia
121,Iraq
122,Cyprus
123,Tanzania
124,Myanmar
125,Cook Islands
126,Mauritius
127,Andorra
128,Seychelles
129,Libya
130,Australia
131,Dominican Republic
132,Lesotho
133,Marshall Islands
134,New Zealand
135,Tuvalu
136,Canadian Territories
137,Virgin Islands
138,Guinea
139,Zambia
140,Honduras
141,South Korea
142,?
143,Puerto Rico
144,Oman
145,Lebanon
146,Mozambique
147,Cambodia
148,Yemen
149,Ghana
150,Belize
151,New Caledonia
152,Venezuela
153,Zurich
154,Congo
155,Panama
156,Slovenia
157,Rome
158,Spain
159,Uzbekistan
160,Netherlands Antilles
161,France
162,Chad
163,Palestine
164,Uganda
165,Equatorial Guinea
166,Singapore
167,Zimbabwe
168,Us Minor Outlying Islands
169,Botswana
170,Tunisia
171,Saint Lucia
172,Samoa
173,S
174,Dublin
175,Kiribati
176,Algeria
177,Afghanistan
178,Switzerland
179,Cayman Islands
180,Liberia
181,Azerbaijan
182,Nepal
183,El Salvador
184,Gibraltar
185,Niue
186,Palau
187,Saudi Arabia
188,Republic Of Korea
189,Sudan
190,Brunei
191,Aruba
192,Malta
193,Burma
194,-
195,Latvia
196,South Africa
197,French Guiana
198,Togo
199,Cote D'Ivoire
200,United Kingdom
201,Mali
202,Denmark
203,Jordan
204,Gambia
205,Comoros
206,Costa Rica
207,Mexico
208,Bosnia And Herzegovina
209,Maldives
210,Northern Mariana Islands
211,Sao Tome And Principe
212,Russia
213,Cuba
214,Saint Vincent And The Grenadines
215,Democratic Republic Of The Congo
216,Vietnam
217,Montserrat
218,Faroe Islands
219,Laos
220,Bahamas
221,Turkmenistan
222,Taiwan
223,Romania
224,Poland
225,Eritrea
226,Ecuador
227,Egypt
228,Lithuania
229,United States
230,Mauritania
231,Argentina
232,Philippines
233,Barbados
234,Nauru
235,Hong Kong
236,Falkland Islands
237,Columbia
238,Swaziland
239,Czech Republic
240,Thailand
241,Albania
242,Ireland
243,Norway
244,Alaska
245,Qatar
